id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
56,AgentQ,Q_2,2023-05-01 00:16:06,4.331826600915831,52.00559032961253,130,0-0-0
57,AgentA,A_2,2023-05-01 00:16:29,4.355013007950339,52.01068585398698,110,0-0-0
58,AgentM,M_2,2023-05-01 00:16:29,4.3381867139841965,51.997701092782705,300,0-0-0
59,AgentQ,Q_1,2023-05-01 00:16:29,4.331826600915831,52.00559032961253,130,0-0-0
60,AgentI,I_2,2023-05-01 00:16:52,4.356195988642664,52.02068273213007,120,0-0-0
61,AgentM,M_1,2023-05-01 00:16:52,4.3381867139841965,51.997701092782705,300,0-0-0
62,AgentG,G_2,2023-05-01 00:17:38,4.3530496140647505,52.013077609082096,30,0-0-0
63,AgentG,G_1,2023-05-01 00:18:01,4.3530496140647505,52.013077609082096,30,0-0-0
64,AgentG,G_2,2023-05-01 00:18:01,4.3530496140647505,52.013077609082096,30,0-0-0
65,AgentA,A_2,2023-05-01 00:18:24,4.355013007950339,52.01068585398698,110,0-0-0
66,AgentR,R_2,2023-05-01 00:18:24,4.356550142366685,51.996416163037686,300,0-0-0
67,AgentT,T_2,2023-05-01 00:18:24,4.343948528788537,52.018561346495936,260,0-0-0
68,AgentQ,Q_1,2023-05-01 00:18:47,4.331826600915831,52.00559032961253,130,0-0-0
69,AgentB,B_1,2023-05-01 00:19:10,4.330403173897175,51.991213434504516,80,0-0-0
70,AgentK,K_2,2023-05-01 00:19:33,4.367075846877175,51.98436404193879,250,0-0-0
71,AgentG,G_1,2023-05-01 00:19:56,4.3530496140647505,52.013077609082096,30,0-0-0
72,AgentI,I_2,2023-05-01 00:19:56,4.356195988642664,52.02068273213007,120,0-0-0
73,AgentL,L_2,2023-05-01 00:20:19,4.345045579506649,51.98516872171841,240,0-0-0
74,AgentM,M_1,2023-05-01 00:20:42,4.3381867139841965,51.997701092782705,300,0-0-0
75,AgentN,N_2,2023-05-01 00:21:05,4.354546234187175,51.98921655191236,120,0-0-0
76,AgentJ,J_1,2023-05-01 00:21:28,4.366390654673757,51.99464126281873,240,0-0-0
77,AgentL,L_1,2023-05-01 00:21:51,4.345045579506649,51.98516872171841,240,0-0-0
78,AgentO,O_2,2023-05-01 00:23:23,4.3497636751020305,52.00588464056726,210,0-0-0
79,AgentA,A_2,2023-05-01 00:23:46,4.355013007950339,52.01068585398698,110,0-0-0
80,AgentM,M_1,2023-05-01 00:23:46,4.3381867139841965,51.997701092782705,300,0-0-0
81,AgentT,T_1,2023-05-01 00:23:46,4.343948528788537,52.018561346495936,260,0-0-0
